dataset,phase,strategy,seed,model,init_size,batch,budget,init_size_pct,budget_pct,batch_pct_of_budget,epc,final_labeled_target,step_type,step,labeled_count,split,train_loss,acc,f1_macro,auc,ap,val_mean,select_metric,is_best,tp,fp,tn,fn
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,7,372,val,0.1606,0.7991,0.6542,0.8654,0.6928,0.7529,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,8,408,val,0.1606,0.8324,0.7829,0.891,0.7137,0.805,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,9,444,val,0.1834,0.7027,0.6889,0.8981,0.7197,0.7523,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,10,480,val,0.234,0.844,0.8106,0.9215,0.8097,0.8465,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,11,516,val,0.2103,0.7996,0.7623,0.853,0.6716,0.7716,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,12,552,val,0.157,0.8756,0.84,0.9318,0.8393,0.8717,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,13,588,val,0.1988,0.8394,0.7398,0.9343,0.8432,0.8392,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,14,624,val,0.1516,0.8937,0.86,0.947,0.8811,0.8954,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,15,660,val,0.1248,0.9013,0.8734,0.9546,0.8668,0.8991,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,16,696,val,0.1834,0.8604,0.793,0.9216,0.8087,0.8459,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,17,732,val,0.1826,0.8645,0.8278,0.9148,0.7905,0.8494,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,18,768,val,0.1431,0.8984,0.8762,0.9545,0.8781,0.9018,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,19,804,val,0.1594,0.9019,0.8748,0.9607,0.9034,0.9102,mean,1,-1,-1,-1,-1
